"","Time","pop"
"1",2023,734864905.5
"2",2024,748802456.5
"3",2025,762354573
"4",2026,775524134
"5",2027,788383380.5
"6",2028,800898095
"7",2029,813117486.5
"8",2030,825046024
"9",2031,836671295
"10",2032,848098789.5
"11",2033,859378173.5
"12",2034,870520028.5
"13",2035,881493990
"14",2036,892357295
"15",2037,903134028.5
"16",2038,913727844.5
"17",2039,924098612.5
"18",2040,934269499.5
"19",2041,944275888.5
"20",2042,954086787
"21",2043,963705083.5
"22",2044,973128363.5
"23",2045,982329315.5
"24",2046,991271008.5
"25",2047,999924695
"26",2048,1008267743
"27",2049,1016253547
"28",2050,1023899045
